outcome,change_type,event_week,weight,event_week_estimate,post_estimate,post_std_error,post_ci_lower,post_ci_upper,unit,weighting_rule,se_method,cluster_level,source
success_within_20,region_only,6,0.0584385226741468,-0.48447319846324255,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,workmode_only,0,0.1923052094764702,1.7793211247871297,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,workmode_only,1,0.1570589374475502,-0.3063609948241368,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,workmode_only,2,0.17216448260280162,-0.830233378806858,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,workmode_only,3,0.18158930992189012,-0.79986543581402,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,workmode_only,4,0.169195016461171,-2.645990192296343,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,workmode_only,5,0.12575043573687947,-0.3433824877640372,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,workmode_only,6,0.0019366083532373637,-27.62176459359782,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_and_workmode,0,0.24146124146124145,1.4250691864868512,1.8675244205033101,2.6129328257811624,-3.2538239180277677,6.988872759034388,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_and_workmode,1,0.1865161865161865,-0.010739357236825921,1.8675244205033101,2.6129328257811624,-3.2538239180277677,6.988872759034388,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_and_workmode,2,0.16038016038016037,-0.10158731428950458,1.8675244205033101,2.6129328257811624,-3.2538239180277677,6.988872759034388,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_and_workmode,3,0.16483516483516483,1.3868104242105768,1.8675244205033101,2.6129328257811624,-3.2538239180277677,6.988872759034388,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_and_workmode,4,0.17255717255717257,5.3254039416835415,1.8675244205033101,2.6129328257811624,-3.2538239180277677,6.988872759034388,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_and_workmode,5,0.07425007425007425,5.308941862907547,1.8675244205033101,2.6129328257811624,-3.2538239180277677,6.988872759034388,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_only,0,0.4900497512437811,2.978078283477033,2.730592650528563,4.4610347333142375,-6.013035426767344,11.47422072782447,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_only,2,0.2325870646766169,6.221654487913741,2.730592650528563,4.4610347333142375,-6.013035426767344,11.47422072782447,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,region_only,4,0.277363184079602,-0.6341513089903844,2.730592650528563,4.4610347333142375,-6.013035426767344,11.47422072782447,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,workmode_only,0,0.18805409466566492,2.6711742214875924,1.0443790246857452,1.8921224917987547,-2.664181059239814,4.752939108611304,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,workmode_only,1,0.18264462809917356,2.6247649807601343,1.0443790246857452,1.8921224917987547,-2.664181059239814,4.752939108611304,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,workmode_only,2,0.1996243425995492,-1.8153043101037762,1.0443790246857452,1.8921224917987547,-2.664181059239814,4.752939108611304,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,workmode_only,3,0.21044327573253194,1.5257449363421318,1.0443790246857452,1.8921224917987547,-2.664181059239814,4.752939108611304,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,workmode_only,4,0.19579263711495115,0.2909064322278409,1.0443790246857452,1.8921224917987547,-2.664181059239814,4.752939108611304,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
utlz_within_25,workmode_only,5,0.023441021788129224,2.004749669300011,1.0443790246857452,1.8921224917987547,-2.664181059239814,4.752939108611304,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,0,0.1495367847411444,0.7008450944820079,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,1,0.1645776566757493,0.8513995407499428,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,2,0.23313351498637602,0.8718319078631837,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,3,0.15880108991825614,0.5234727929520394,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,4,0.05950953678474114,1.6218676301155428,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,5,0.05046321525885559,1.7019398032399469,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,6,0.04719346049046322,1.3885985094078561,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,7,0.0644141689373297,3.558170651069766,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_and_workmode,8,0.07237057220708447,2.389030893061181,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_only,0,0.18624807395993837,0.270207454245738,0.11357373020914052,0.0828896727829141,-0.04889002844537113,0.2760374888636522,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_only,1,0.14791987673343607,-0.10490968885604232,0.11357373020914052,0.0828896727829141,-0.04889002844537113,0.2760374888636522,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_only,2,0.2600154083204931,-0.2993484638412879,0.11357373020914052,0.0828896727829141,-0.04889002844537113,0.2760374888636522,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
t_available,region_only,3,0.18470724191063173,-0.20678186702211585,0.11357373020914052,0.0828896727829141,-0.04889002844537113,0.2760374888636522,days,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
