outcome,change_type,event_week,coef,se,ci_low,ci_high,pval,estimated,baseline_week,ci_level,cluster_level,estimator
meet_flg,region_only,0,-0.03246119223581592,0.036282623843912884,-0.10357482866937555,0.038652444197743704,0.37096282251512314,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,region_only,1,0.027678674522890613,0.0351727254936661,-0.0412595705140267,0.09661691955980792,0.4313216559575559,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,region_only,2,0.011494188758173839,0.033061216959560394,-0.053305517377402585,0.07629389489375027,0.7280935265942741,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,region_only,3,0.1582039701978824,0.03448558892273931,0.09061250703912545,0.22579543335663937,4.491340119594511e-06,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,region_only,4,-0.060104625213051086,0.05804567724515962,-0.17387366258779846,0.053664412161696304,0.3004518348607059,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,region_only,5,-0.1079714610690263,0.0605306979794714,-0.22661111810430173,0.010668195966249128,0.07446828154461937,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,region_only,6,-0.022618347428655455,0.06693819267429339,-0.15381663997325276,0.10857994511594185,0.7354401361442817,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,region_only,7,0.01937895564383657,0.0519921130724581,-0.08252514705703824,0.12128305834471138,0.7093512499720163,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,region_only,8,-0.11122931686872499,0.04060596903078701,-0.19081667337056812,-0.031641960366881855,0.006159490061015127,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,-8,0.01601394490350595,0.015888879071646034,-0.015128036579764602,0.0471559263867765,0.31351852964480864,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,-7,0.027733210942217965,0.021435705673313918,-0.01428047335540087,0.06974689523983679,0.19574221031450478,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,-6,0.0012374302656751794,0.021137356799244323,-0.04019149439786662,0.042666354929216985,0.9533167490765277,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,-5,-0.0015373791085057003,0.02149397892373634,-0.04366527816460071,0.040590519947589304,0.9429792370558685,True,-1,0.95,hex,PanelOLS hex+date FE event-study
meet_flg,workmode_only,-4,0.00990391145679988,0.021497120678399314,-0.03223014539463727,0.05203796830823702,0.6450085134038734,True,-1,0.95,hex,PanelOLS hex+date FE event-study
