outcome,term,event_week,estimate,std_error,ci_lower,ci_upper,p_value,unit,estimated,n_obs,n_hexagons,cohorts_used
meet_flg,R,-3,1.9171010419007997,2.4506687829500837,-2.886163643261688,6.720365727063288,0.4340533304858343,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,-2,-0.3931923936529467,2.3707419537101044,-5.039801997983476,4.253417210677582,0.8682736327445086,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,0,-3.921350084327694,2.6098029543692225,-9.03651475005794,1.1938145814025525,0.13295833757071018,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,1,-3.122867953663556,2.4760966807202958,-7.975970839821348,1.730234932494235,0.2072367750419024,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,2,-0.20667650273800878,2.371013745966695,-4.853818814775456,4.440465809299439,0.9305381091652385,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,3,7.022792626102076,2.5529277467617963,2.019102296709184,12.026482955494968,0.005944353220620924,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,4,1.7728038858676007,3.7630439314727417,-5.6026913873041995,9.148299159039402,0.6375636389409585,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,5,-3.42861882879055,3.764845166219595,-10.807644488161188,3.9504068305800875,0.36245864765594993,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,6,0.00468017496074296,3.7609807553031267,-7.3667713117541815,7.376131661675668,0.9990071122782569,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,7,-20.966631411501982,3.759583923114098,-28.335345133419253,-13.597917689584706,2.453712677485953e-08,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
